epoch,step,train_loss,test_acc,sparsity
1,45,1.6097857587518187,0.83008356545961,0.0
2,90,0.5259959118169654,0.9220055710306406,0.0
3,135,0.2653883327224116,0.947075208913649,0.0
4,180,0.15888579763655963,0.9610027855153204,0.07078242481203012
5,225,0.10833782115082664,0.9554317548746518,0.13774671052631582
6,270,0.08465286518661491,0.9693593314763231,0.20101033834586468
7,315,0.06267245892475971,0.9665738161559888,0.2606907894736842
8,360,0.04934188934201583,0.9721448467966574,0.3436912593984962
9,405,0.043189794073426366,0.9721448467966574,0.39479558270676696
10,450,0.037637803879256235,0.9721448467966574,0.4426691729323309
11,495,0.03398643845263054,0.9721448467966574,0.48742951127819545
12,540,0.033456709962515596,0.9749303621169917,0.5489896616541353
13,585,0.03192429753553856,0.9721448467966574,0.5863486842105263
14,630,0.030382800750191723,0.9721448467966574,0.6210056390977443
15,675,0.033676693548697775,0.9749303621169917,0.6530192669172932
16,720,0.0357380046082351,0.9749303621169917,0.6963110902255639
17,765,0.03823036151126362,0.9777158774373259,0.7220982142857143
18,810,0.04048097347056388,0.9777158774373259,0.7456531954887218
19,855,0.04351730955218997,0.9721448467966574,0.7670347744360902
20,900,0.0481030894590754,0.9805013927576601,0.7952890037593985
21,945,0.05287614017942936,0.9777158774373259,0.8116776315789473
22,990,0.0556817380159626,0.9749303621169917,0.8262453007518797
23,1035,0.057978565558031755,0.9832869080779945,0.8391682330827068
24,1080,0.07077940879298081,0.9721448467966574,0.8554981203007519
25,1125,0.07332272890857688,0.9721448467966574,0.8646029135338346
26,1170,0.07304331836453047,0.9749303621169917,0.8723566729323309
27,1215,0.07582710124072499,0.9721448467966574,0.8788768796992481
28,1260,0.08121247393707771,0.9665738161559888,0.8866306390977443
29,1305,0.08894032494295145,0.9665738161559888,0.8905662593984962
30,1350,0.08209174130884515,0.9665738161559888,0.8936207706766918
31,1395,0.07993770618002206,0.9777158774373259,0.8959703947368421
32,1440,0.07678191380618259,0.9693593314763231,0.8982612781954887
33,1485,0.07170372295408836,0.9777158774373259,0.8991423872180451
34,1530,0.0655179747489371,0.9749303621169917,0.899671052631579
35,1575,0.06534331259286998,0.9693593314763231,0.8999060150375939
36,1620,0.056141660433669215,0.9721448467966574,0.9000234962406015
37,1665,0.049933406827254875,0.9777158774373259,0.9000234962406015
38,1710,0.04077528480910456,0.9721448467966574,0.9000234962406015
39,1755,0.03476720196585045,0.9749303621169917,0.9000234962406015
40,1800,0.030265840255636403,0.9749303621169917,0.9000234962406015
41,1845,0.026718116137714788,0.9721448467966574,0.9000234962406015
42,1890,0.024005840506249425,0.9777158774373259,0.9000234962406015
43,1935,0.02097236150302511,0.9805013927576601,0.9000234962406015
44,1980,0.01950173676910839,0.9777158774373259,0.9000234962406015
45,2025,0.01716680872102017,0.9805013927576601,0.9000234962406015
46,2070,0.015378593496438704,0.9832869080779945,0.9000234962406015
47,2115,0.01445295987536384,0.9805013927576601,0.9000234962406015
48,2160,0.012633149619438,0.9805013927576601,0.9000234962406015
49,2205,0.011583217797263203,0.9832869080779945,0.9000234962406015
50,2250,0.010853202047488674,0.9805013927576601,0.9000234962406015
51,2295,0.009821098993331563,0.9832869080779945,0.9000234962406015
52,2340,0.009076897279635352,0.9805013927576601,0.9000234962406015
53,2385,0.008361264182428958,0.9805013927576601,0.9000234962406015
54,2430,0.00781504975058751,0.9832869080779945,0.9000234962406015
55,2475,0.007283939219609866,0.9805013927576601,0.9000234962406015
56,2520,0.006829944154934332,0.9832869080779945,0.9000234962406015
57,2565,0.0064258622659949345,0.9832869080779945,0.9000234962406015
58,2610,0.006045829408104222,0.9832869080779945,0.9000234962406015
59,2655,0.005611752561468085,0.9832869080779945,0.9000234962406015
60,2700,0.0052115520179805445,0.9832869080779945,0.9000234962406015
