epoch,step,train_loss,test_acc,sparsity
1,45,1.6097857587518187,0.83008356545961,0.0
2,90,0.5259959118169654,0.9220055710306406,0.0
3,135,0.2653883327224116,0.947075208913649,0.0
4,180,0.1586677210765361,0.9554317548746518,0.07078242481203012
5,225,0.10885633792033007,0.9498607242339833,0.13774671052631582
6,270,0.07755842623656749,0.9637883008356546,0.20101033834586468
7,315,0.05991084331098593,0.9637883008356546,0.2606907894736842
8,360,0.04984807938819295,0.9665738161559888,0.3436912593984962
9,405,0.042000173292455575,0.9693593314763231,0.39479558270676696
10,450,0.03856551669546401,0.9693593314763231,0.4426691729323309
11,495,0.0376883363087984,0.9749303621169917,0.48742951127819545
12,540,0.03570589974377912,0.9749303621169917,0.5489896616541353
13,585,0.037640637906189316,0.9721448467966574,0.5863486842105263
14,630,0.03806733115129883,0.9665738161559888,0.6210056390977443
15,675,0.045989374741174614,0.9721448467966574,0.6530192669172932
16,720,0.0448855511449599,0.9749303621169917,0.6963110902255639
17,765,0.04307410712510384,0.9777158774373259,0.7220982142857143
18,810,0.04853941321699185,0.9721448467966574,0.7456531954887218
19,855,0.04958636690995279,0.9721448467966574,0.7670347744360902
20,900,0.054063077032842424,0.9610027855153204,0.7952890037593985
21,945,0.05757076210170441,0.9749303621169917,0.8116776315789473
22,990,0.05520706773166644,0.9554317548746518,0.8262453007518797
23,1035,0.05428375216454994,0.9665738161559888,0.8391682330827068
24,1080,0.055696453443577196,0.9554317548746518,0.8554981203007519
25,1125,0.056629394116276724,0.9637883008356546,0.8646029135338346
26,1170,0.057066098987347776,0.9749303621169917,0.8723566729323309
27,1215,0.05339752518616467,0.9637883008356546,0.8788768796992481
28,1260,0.048151317663524144,0.9749303621169917,0.8866306390977443
29,1305,0.04674646913141728,0.9721448467966574,0.8905662593984962
30,1350,0.04139372667771901,0.9721448467966574,0.8936207706766918
31,1395,0.036080213094083324,0.9749303621169917,0.8959703947368421
32,1440,0.03415500527974672,0.9777158774373259,0.8982612781954887
33,1485,0.029882325262263015,0.9777158774373259,0.8991423872180451
34,1530,0.026562474497836667,0.9805013927576601,0.899671052631579
35,1575,0.02369951017179759,0.9805013927576601,0.8999060150375939
36,1620,0.021266175688465682,0.9805013927576601,0.9000234962406015
37,1665,0.01943791358061976,0.9805013927576601,0.9000234962406015
38,1710,0.01777206080378464,0.9805013927576601,0.9000234962406015
39,1755,0.016213423584331373,0.9805013927576601,0.9000234962406015
40,1800,0.014949796207864373,0.9805013927576601,0.9000234962406015
41,1845,0.013863937274066476,0.9805013927576601,0.9000234962406015
42,1890,0.013018207059843433,0.9805013927576601,0.9000234962406015
43,1935,0.011929946847904587,0.9805013927576601,0.9000234962406015
44,1980,0.011142858623033096,0.9805013927576601,0.9000234962406015
45,2025,0.010384282112725572,0.9805013927576601,0.9000234962406015
46,2070,0.009706074379925309,0.9805013927576601,0.9000234962406015
47,2115,0.009178917957758707,0.9832869080779945,0.9000234962406015
48,2160,0.008604138780296136,0.9832869080779945,0.9000234962406015
49,2205,0.008110295823169977,0.9805013927576601,0.9000234962406015
50,2250,0.007628679619238722,0.9805013927576601,0.9000234962406015
51,2295,0.007213483288274656,0.9832869080779945,0.9000234962406015
52,2340,0.006798691383631693,0.9805013927576601,0.9000234962406015
53,2385,0.006374998794390908,0.9832869080779945,0.9000234962406015
54,2430,0.006062296753267622,0.9805013927576601,0.9000234962406015
55,2475,0.0057516763155419995,0.9805013927576601,0.9000234962406015
56,2520,0.005450909072482501,0.9805013927576601,0.9000234962406015
57,2565,0.005223806254267879,0.9805013927576601,0.9000234962406015
58,2610,0.004960244706021367,0.9805013927576601,0.9000234962406015
59,2655,0.004672758574385369,0.9805013927576601,0.9000234962406015
60,2700,0.004486513278344936,0.9832869080779945,0.9000234962406015
