epoch,step,train_loss,test_acc,sparsity
1,45,1.5782145377825199,0.8495821727019499,0.0
2,90,0.42456291519747863,0.9136490250696379,0.07072368421052633
3,135,0.2098952387471147,0.9136490250696379,0.2008928571428571
4,180,0.1440749469457031,0.9331476323119777,0.31667058270676696
5,225,0.10849269925555548,0.9415041782729805,0.41887922932330823
6,270,0.0992846748823325,0.9331476323119777,0.5486959586466165
7,315,0.09648450498484071,0.947075208913649,0.6207706766917294
8,360,0.1089188813971257,0.9498607242339833,0.6822133458646616
9,405,0.12903878096623522,0.9303621169916435,0.7339050751879699
10,450,0.1677872886292334,0.924791086350975,0.7950540413533834
11,495,0.22087382140504133,0.9387186629526463,0.8260690789473684
12,540,0.3228783201710665,0.9025069637883009,0.8502702067669172
13,585,0.7834858381840503,0.8356545961002786,0.8685385338345865
14,630,2.0790935274929825,0.16434540389972144,0.8829887218045113
15,675,2.2971268362516994,0.0807799442896936,0.8802279135338346
16,720,2.293653300008675,0.10863509749303621,0.8887453007518797
17,765,2.2979050869720656,0.116991643454039,0.8830474624060151
18,810,2.292124428020808,0.0807799442896936,0.8902138157894737
19,855,2.2674368678701113,0.2841225626740947,0.8902138157894737
20,900,2.0069375274399452,0.5933147632311978,0.8902138157894737
21,945,1.5288795091884662,0.7576601671309192,0.8902138157894737
22,990,1.0241235880485628,0.8579387186629527,0.8902138157894737
23,1035,0.6733301127230957,0.8941504178272981,0.8902138157894737
24,1080,0.4762650331175472,0.9108635097493036,0.8902138157894737
25,1125,0.3655509250057379,0.9164345403899722,0.8902138157894737
26,1170,0.293656335310837,0.9275766016713092,0.8902138157894737
27,1215,0.2426403693586528,0.9387186629526463,0.8902138157894737
28,1260,0.20686618672458712,0.9442896935933147,0.8902138157894737
29,1305,0.17589330900256664,0.9498607242339833,0.8902138157894737
30,1350,0.15340266108222156,0.9498607242339833,0.8902138157894737
