epoch,step,train_loss,test_acc,sparsity
1,45,1.6097857587518187,0.83008356545961,0.0
2,90,0.5259959118169654,0.9220055710306406,0.0
3,135,0.2653883327224116,0.947075208913649,0.0
4,180,0.15894401500171867,0.9610027855153204,0.07078242481203012
5,225,0.108463323352204,0.9526462395543176,0.13774671052631582
6,270,0.085700701980732,0.9693593314763231,0.20101033834586468
7,315,0.060568312745392136,0.9665738161559888,0.2606907894736842
8,360,0.04882528522348682,0.9721448467966574,0.3436912593984962
9,405,0.03906783667596608,0.9749303621169917,0.39479558270676696
10,450,0.035009943083439035,0.9693593314763231,0.4426691729323309
11,495,0.031184929944369857,0.9749303621169917,0.48742951127819545
12,540,0.029129707601619505,0.9777158774373259,0.5489896616541353
13,585,0.029181429728677176,0.9749303621169917,0.5863486842105263
14,630,0.027525744274577303,0.9749303621169917,0.6210056390977443
15,675,0.028021152269654317,0.9749303621169917,0.6530192669172932
16,720,0.02987643481816731,0.9721448467966574,0.6963110902255639
17,765,0.03122004669238237,0.9721448467966574,0.7220982142857143
18,810,0.03206917730778131,0.9721448467966574,0.7456531954887218
19,855,0.03191246989934014,0.9749303621169917,0.7670347744360902
20,900,0.03429505730791666,0.9805013927576601,0.7952890037593985
21,945,0.03408813277084926,0.9749303621169917,0.8116776315789473
22,990,0.03441004696223705,0.9721448467966574,0.8262453007518797
23,1035,0.035271583747507246,0.9777158774373259,0.8391682330827068
24,1080,0.03478806266860254,0.9777158774373259,0.8554981203007519
25,1125,0.03426802601301247,0.9777158774373259,0.8646029135338346
26,1170,0.033642284092596966,0.9749303621169917,0.8723566729323309
27,1215,0.03221026992197207,0.9777158774373259,0.8788768796992481
28,1260,0.032103017378132474,0.9777158774373259,0.8866306390977443
29,1305,0.03016828032934128,0.9805013927576601,0.8905662593984962
30,1350,0.02623120029384149,0.9777158774373259,0.8936207706766918
31,1395,0.02380927995992888,0.9777158774373259,0.8959703947368421
32,1440,0.020966051897633137,0.9777158774373259,0.8982612781954887
33,1485,0.01827459321539182,0.9777158774373259,0.8991423872180451
34,1530,0.0161953431315545,0.9777158774373259,0.899671052631579
35,1575,0.014246993077551635,0.9777158774373259,0.8999060150375939
36,1620,0.012585292259151556,0.9777158774373259,0.9000234962406015
37,1665,0.01125635800561493,0.9805013927576601,0.9000234962406015
38,1710,0.010085989452980493,0.9777158774373259,0.9000234962406015
39,1755,0.009103567288795862,0.9805013927576601,0.9000234962406015
40,1800,0.008282564323333403,0.9805013927576601,0.9000234962406015
41,1845,0.007632059508594393,0.9805013927576601,0.9000234962406015
42,1890,0.007035779929811447,0.9805013927576601,0.9000234962406015
43,1935,0.006448380040436072,0.9805013927576601,0.9000234962406015
44,1980,0.005986732358539678,0.9805013927576601,0.9000234962406015
45,2025,0.00555035084178671,0.9805013927576601,0.9000234962406015
46,2070,0.0051428496534127585,0.9805013927576601,0.9000234962406015
47,2115,0.004818643412873297,0.9805013927576601,0.9000234962406015
48,2160,0.0044591530306825325,0.9805013927576601,0.9000234962406015
49,2205,0.004211605924104481,0.9805013927576601,0.9000234962406015
50,2250,0.003990295299329327,0.9805013927576601,0.9000234962406015
51,2295,0.003699994483638822,0.9805013927576601,0.9000234962406015
52,2340,0.0034957311282947114,0.9805013927576601,0.9000234962406015
53,2385,0.0032858674199045855,0.9805013927576601,0.9000234962406015
54,2430,0.003115470316637463,0.9805013927576601,0.9000234962406015
55,2475,0.0029395984319122697,0.9805013927576601,0.9000234962406015
56,2520,0.0027781393967432925,0.9805013927576601,0.9000234962406015
57,2565,0.002654133189787909,0.9805013927576601,0.9000234962406015
58,2610,0.0025263218890387235,0.9805013927576601,0.9000234962406015
59,2655,0.0023835955481812956,0.9805013927576601,0.9000234962406015
60,2700,0.0022646588542264046,0.9805013927576601,0.9000234962406015
