in_features,out_features,sparsity,n_active_weights,n_total_weights,dense_flops,sparse_flops,t_dense_ms,t_dense_times_mask_ms,t_sparse_ms,achieved_model_sparsity,final_test_acc
64,128,0.8953857421875,857,8192,4194304,438784,0.025408750007045455,0.02942124998298823,0.05742499999541906,0.9000234962406015,0.9832869080779945
128,64,0.9300537109375,573,8192,4194304,293376,0.019765625002037268,0.021807704997627297,0.05402458498792839,0.9000234962406015,0.9832869080779945
64,10,0.575,272,640,327680,139264,0.005274164996080799,0.005585835006058915,0.023570829998789122,0.9000234962406015,0.9832869080779945
